,contractSymbol,currency,contractSize,inTheMoney,impliedVolatility.raw,impliedVolatility.fmt,expiration.raw,expiration.fmt,expiration.longFmt,change.raw,change.fmt,strike.raw,strike.fmt,lastPrice.raw,lastPrice.fmt,openInterest.raw,openInterest.fmt,openInterest.longFmt,percentChange.raw,percentChange.fmt,ask.raw,ask.fmt,volume.raw,volume.fmt,volume.longFmt,lastTradeDate.raw,lastTradeDate.fmt,lastTradeDate.longFmt,bid.raw,bid.fmt
0,TSLA220715C00100000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,100.0,100.00,618.0,618.00,0,0,0,0,0.00%,0.0,0.00,5.0,5,5,1657202474,2022-07-07,2022-07-07T14:01,0.0,0.00
1,TSLA220715C00120000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,120.0,120.00,630.15,630.15,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1656338708,2022-06-27,2022-06-27T14:05,0.0,0.00
2,TSLA220715C00140000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,140.0,140.00,582.85,582.85,0,0,0,0,0.00%,0.0,0.00,,,,1655906547,2022-06-22,2022-06-22T14:02,0.0,0.00
3,TSLA220715C00160000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,160.0,160.00,570.5,570.50,0,0,0,0,0.00%,0.0,0.00,,,,1656356582,2022-06-27,2022-06-27T19:03,0.0,0.00
4,TSLA220715C00180000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,180.0,180.00,580.59,580.59,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1657290987,2022-07-08,2022-07-08T14:36,0.0,0.00
5,TSLA220715C00200000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,200.0,200.00,556.63,556.63,0,0,0,0,0.00%,0.0,0.00,2.0,2,2,1657306899,2022-07-08,2022-07-08T19:01,0.0,0.00
6,TSLA220715C00230000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,230.0,230.00,470.11,470.11,0,0,0,0,0.00%,0.0,0.00,10.0,10,10,1656446080,2022-06-28,2022-06-28T19:54,0.0,0.00
7,TSLA220715C00250000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,250.0,250.00,380.2,380.20,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1655405094,2022-06-16,2022-06-16T18:44,0.0,0.00
8,TSLA220715C00260000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,260.0,260.00,424.7,424.70,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1656607739,2022-06-30,2022-06-30T16:48,0.0,0.00
9,TSLA220715C00280000,USD,REGULAR,True,1.0000000000000003e-05,0.00%,1657843200,2022-07-15,2022-07-15T00:00,0,0.00,280.0,280.00,460.2,460.20,0,0,0,0,0.00%,0.0,0.00,1.0,1,1,1657287977,2022-07-08,2022-07-08T13:46,0.0,0.00
